 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
12545442;"Matadero set de rodaje";"";"0";"1";"M,X,J,V";"";"2024-11-05 00:00:00.0";"2024-11-08 23:59:00.0";"";"Para celebrar esta circunstancia, la programación de Cineteca reúne una selección de películas que han recurrido a Matadero como escenario. Se proyectarán grandes clásicos como: Los Golfos (Carlos Saura), Matador (Pedro Almodóvar), La buena estrella (Ricardo Franco), Sin noticias de Dios (Agustín Díaz Yanes) y El embrujo de Shanghai (Fernando Trueba).";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3400fa7acf152910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12545415;"Matadero, 100 años";"Acceso libre hasta completar aforo";"0";"0";"";"";"2024-10-24 00:00:00.0";"2024-11-17 23:59:00.0";"";"Proyecciones, audiovisuales e iluminación crearán una experiencia inmersiva y fantasmal, en la que los sonidos e imágenes de los 100 años del espacio se manifestarán ante los visitantes en una instalación audiovisual diseñada por David Pérez, del estudio LaLAB.  ";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb6ffa7acf152910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12553130;"Matador";"";"0";"0";"";"";"2024-11-09 00:00:00.0";"2024-11-09 23:59:00.0";"";"Un thriller psicológico, con tintes de melodrama, dirigido por Pedro Almodóvar, protagonizado por Assumpta Serna, Antonio Banderas y Nacho Martínez. Un torero retirado por culpa de una cogida sigue sintiendo la pulsión de matar, y decide sustituir al toro por las mujeres. Cuando conoce a María, una mujer que hace lo mismo con él, pero con los hombres, la situación se complica.  &amp;gt; No recomendada para menores de 18 años";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bce1f6b384a72910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2dbd1fe44c5ee310VgnVCM2000000c205a0aRCRD";"Cineteca Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12522593;"Matinal escolar Circo Price en Navidad";"";"0";"1";"M,X,J,V";"";"2024-12-10 00:00:00.0";"2024-12-20 23:59:00.0";"11:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=70feaa1fc0902910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=432257258ae5d010VgnVCM1000000b205a0aRCRD";"Teatro Circo Price";"1";"RONDA";"ATOCHA";"35";"ARGANZUELA";"PALOS DE LA FRONTERA";"28012";"440722";"4473051";"40.40596936645757";"-3.698589986849812";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12471793;"Meditación Vipassana";"";"1";"1";"X";"25/12/2024;1/1/2025;";"2024-09-18 00:00:00.0";"2025-06-18 23:59:00.0";"09:45";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=50231f760e2b1910VgnVCM2000001f4a900aRCRD";"'Meditación Vipassana'";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=07c11f760e2b1910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro (Retiro)";"1,6";"PASEO";"FERNÁN NÚÑEZ";"24";"RETIRO";"LOS JERONIMOS";"28009";"442345";"4474221";"40.4166091081099";"-3.6795930368034804";"/contenido/actividades/CursosTalleres";""
12572180;"Melocotón gigante";"";"1";"0";"";"";"2024-11-17 00:00:00.0";"2024-11-17 23:59:00.0";"12:30";"Con la compañía Coloradas  James es un niño huérfano que vive con sus dos terribles tías en una casa destartalada. Pero una misteriosa poción va a cambiar su vida por completo. Montado en un melocotón gigante, James inicia un fantástico viaje por el mundo entero? Edad recomendada: A partir de 4 años. Duración: 45 minutos.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=45653e86bd0d2910VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Cultural San Francisco La Prensa";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d60f36edd371910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD";"Centro Cultural San Francisco La Prensa (Carabanchel)";"1";"CALLE";"ALISEDA";"4";"CARABANCHEL";"PUERTA BONITA";"28025";"437044";"4469856";"40.37691447788016";"-3.7416256113806847";"";"/usuario/Niños"
12557222;"Menuda momia, un cuento de hadas diferente";"";"1";"0";"";"";"2024-11-29 00:00:00.0";"2024-11-29 23:59:00.0";"18:00";"Compañía: Marimba Marionetas   Sinopsis:  Mientras da un paseo por el parque, Silvia se encuentra con una rana que le habla. Y como a ella siempre le han gustado los cuentos de hadas, cree que puede ser un príncipe azul, al que liberará de un conjuro si le besa.   En conmemoración del Día Internacional contra la Violencia de Género   Duración: 50 minutos  Edad recomendada: de 3 a 9 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f2e9d0346492910VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Cultural Zazuar";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bba62d24e6f61910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Zazuar (Villa de Vallecas)";"1,6";"CENTRO CULTURAL";"ZAZUAR";"";"DISTRITO";"";"";"448540";"4470444";"40.383003853666146";"-3.60624904964931";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños"
12570216;"Menuda Momia. Un cuento diferente";"";"1";"0";"";"";"2024-11-24 00:00:00.0";"2024-11-24 23:59:00.0";"12:00";"Compañía: Marimba Marionetas  Sinopsis: Mientras da un paseo por el parque, Silvia se encuentra con una rana que le habla. Y como a ella siempre le han gustado los cuentos de hadas, cree que puede ser un príncipe azul, al que liberará del conjuro si le besa. Cuando besa en la mejilla a la rana, ésta se transforma en una momia, empeñada en que la niña debe obedecerla en todo, ya que la quiere más que a nada en el mundo. Y nadie, jamás, la querrá de esa manera. (Recomendado Mayores 3 años).";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fea9b70316eb2910VgnVCM1000001d4a900aRCRD";"Actividades en el Centro Cultural Quinta del Berro - Rafael Altamira";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf80615955c3a810VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca)";"1,5";"CALLE";"ENRIQUE D'ALMONTE";"1";"SALAMANCA";"FUENTE DEL BERRO";"28028";"443759";"4474815";"40.42206923419431";"-3.6629608041639368";"/contenido/actividades/TeatroPerformance";"/usuario/Niños"
12406054;"Mercadea en los mercadillos. Ciudad de los Ángeles/Villaverde ? Ciudad de los Ángeles";"";"1";"0";"";"";"2024-12-19 00:00:00.0";"2024-12-19 23:59:00.0";"10:00";"Nos acercamos a los mercadillos municipales para informar a la población sobre los residuos que generamos en nuestras casas. Este día estaremos en Ciudad de los Ángeles (distrito de Villaverde), en el mercadillo de Ciudad de los Ángeles. ¿Has tenido alguna vez dudas sobre donde depositar un residuo? ¿Te has fijado en los nuevos contenedores de textil repartidos por la ciudad? ¿Quieres saber por qué es importante depositar correctamente nuestra ropa?  Visítanos en el mercadillo, si separas bien te llevas un regalo. Estaremos en el mercadillo de 10:00 a 14:00 horas.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c28e84804c850910VgnVCM2000001f4a900aRCRD";"Mercadea en los mercadillos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6531135937850910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesCalleArteUrbano";""
12406029;"Mercadea en los mercadillos. Puente de Vallecas - Ronda del Sur";"";"1";"0";"";"";"2024-12-15 00:00:00.0";"2024-12-15 23:59:00.0";"10:00";"Nos acercamos a los mercadillos municipales para informar a la población sobre los residuos que generamos en nuestras casas. Este día estaremos en el distrito de Puente de Vallecas, en el mercadillo de Ronda del Sur. ¿Has tenido alguna vez dudas sobre donde depositar un residuo? ¿Te has fijado en los nuevos contenedores de textil repartidos por la ciudad? ¿Quieres saber por qué es importante depositar correctamente nuestra ropa?  Visítanos en el mercadillo, si separas bien te llevas un regalo. Estaremos en el mercadillo de 10:00 a 14:00 horas.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ec5135937850910VgnVCM2000001f4a900aRCRD";"Mercadea en los mercadillos";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6531135937850910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesCalleArteUrbano";""
