ID,numRadar,ubicacion,carretera,Ubicación carretera,pk,sentido,tipo,carril,Longitud inicio tramo,Latitud inicio tramo,X (WGS84),Y (WGS84),Longitud,Latitud,velocidadLimite,responsable
07ef9ca8-e997-4338-afa1-a8ed9cea4dd5,26,"M-30  SENTIDO CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÓN - CTRA. DEL PARDO) P.K. 27,300",M-30,NULL,27+300,NULL,Fijo,Fijo multicarril,NULL,NULL,438043.0,4480491.0,-3.73089695,40.47279048,90,DGP
9f0dcb7a-5345-4ec2-99e2-537655bf8a9e,27,"PASEO DE LA CASTELLANA Nº 300, SALIDA",PASEO DE LA CASTELLANA,NULL,300,Salida,Fijo,Todos,NULL,NULL,441904.0,4481314.0,-3.68542793,40.48048344,50,DGP
bd862d6d-06ba-4f7f-99bf-90855ff81b55,28,"AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR, SENTIDO GLORIETA DE MÁLAGA",AVENIDA DE CÓRDOBA,NULL,"Inicio: GLORIETA DE CÁDIZ
Fin: AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR",Salida,Radar de tramo,"Salida, radar de tramo",-3.69938,40.387572,440873.0,4470025.29,-3.696519,40.37859,50,DGGVC
36342261-0e86-417a-87f9-5a987ba80273,29,"A-5 PK 5+750, SENTIDO SALIDA",A5,NULL,P.K  4+000 ----- P.K. 5+750,Salida,Radar de tramo,"Salida, radar de tramo",-3.74574755307117,40.4072412609861,435202.237655954,4472448.48639425,-3.76358611606955,40.4001241953525,70,DGGVC
e73d2142-b471-41b8-9bcc-c55fb12f7672,30,"A-5 PK 4+000, SENTIDO ENTRADA",A5,NULL,P.K. 5+750 ----- P.K  4+000,Entrada,Radar de tramo,"Entrada, radar de tramo",-3.76358611606955,40.4001241953525,436722.693562517,4473225.55366121,-3.74574755307117,40.4072412609861,70,DGGVC
9e11ca65-4159-49ce-91a0-54d2a695f90c,31,"Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 144 -152",Calle Sinesio Delgado,NULL,NULL,Ciudad Universitaria,Radar de tramo,Radar de tramo,-3.712945,40.469247,NULL,NULL,-3.714454,40.467149,50,DGGVC
4e008874-f8eb-4af0-b8f8-80ced3d23bc5,32,"Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 152 - 188",Calle Sinesio Delgado,NULL,NULL,Ciudad Universitaria,Radar de tramo,Radar de tramo,-3.714454,40.467149,NULL,NULL,-3.728241,40.460303,50,DGGVC
0b12e38b-6789-48c8-9214-ea07b0a2568f,33,"Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 144 -188",Calle Sinesio Delgado,NULL,NULL,Ciudad Universitaria,Radar de tramo,Radar de tramo,-3.712945,40.469247,NULL,NULL,-3.728241,40.460303,50,DGGVC
3c8e0680-76d0-4a40-be24-89d90fb627aa,34,"Sinesio Delgado, Sentido Av Betanzos, Farola 187-152",Calle Sinesio Delgado,NULL,NULL,Av Betanzos,Radar de tramo,Radar de tramo,-3.728207,40.460208,NULL,NULL,-3.714454,40.467149,50,DGGVC
1ad00474-c55f-4eb6-8ab2-2313ef4b3df9,35,"Sinesio Delgado, Sentido Av Betanzos, Farola 152- 143",Calle Sinesio Delgado,NULL,NULL,Av Betanzos,Radar de tramo,Radar de tramo,-3.714454,40.467149,NULL,NULL,-3.712743,40.469208,50,DGGVC
1de5779a-c170-47bb-9d12-d14ad3e93864,36,"Sinesio Delgado, Sentido Av Betanzos, Farola 187-143",Calle Sinesio Delgado,NULL,NULL,Av Betanzos,Radar de tramo,Radar de tramo,-3.728207,40.460208,NULL,NULL,-3.712743,40.469208,50,DGGVC
