TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
ALJAIMA_2000_2030,54407,ALJAIMA,MÁLAGA,20:00 - 20:30,0,0.0
ALJAIMA_2100_2130,54407,ALJAIMA,MÁLAGA,21:00 - 21:30,1,0.0
ALJAIMA_2200_2230,54407,ALJAIMA,MÁLAGA,22:00 - 22:30,0,0.0
ALJAIMA_2230_2300,54407,ALJAIMA,MÁLAGA,22:30 - 23:00,1,0.0
CARTAMA_0600_0630,54408,CARTAMA,MÁLAGA,06:00 - 06:30,1,3.0
CARTAMA_0700_0730,54408,CARTAMA,MÁLAGA,07:00 - 07:30,41,7.0
CARTAMA_0800_0830,54408,CARTAMA,MÁLAGA,08:00 - 08:30,39,22.0
CARTAMA_0900_0930,54408,CARTAMA,MÁLAGA,09:00 - 09:30,68,3.0
CARTAMA_1000_1030,54408,CARTAMA,MÁLAGA,10:00 - 10:30,4,13.0
CARTAMA_1100_1130,54408,CARTAMA,MÁLAGA,11:00 - 11:30,7,6.0
CARTAMA_1200_1230,54408,CARTAMA,MÁLAGA,12:00 - 12:30,3,18.0
CARTAMA_1300_1330,54408,CARTAMA,MÁLAGA,13:00 - 13:30,45,21.0
CARTAMA_1400_1430,54408,CARTAMA,MÁLAGA,14:00 - 14:30,26,19.0
CARTAMA_1500_1530,54408,CARTAMA,MÁLAGA,15:00 - 15:30,31,48.0
CARTAMA_1530_1600,54408,CARTAMA,MÁLAGA,15:30 - 16:00,6,39.0
CARTAMA_1600_1630,54408,CARTAMA,MÁLAGA,16:00 - 16:30,21,2.0
CARTAMA_1700_1730,54408,CARTAMA,MÁLAGA,17:00 - 17:30,9,8.0
CARTAMA_1800_1830,54408,CARTAMA,MÁLAGA,18:00 - 18:30,2,25.0
CARTAMA_1900_1930,54408,CARTAMA,MÁLAGA,19:00 - 19:30,27,34.0
CARTAMA_2000_2030,54408,CARTAMA,MÁLAGA,20:00 - 20:30,14,13.0
CARTAMA_2100_2130,54408,CARTAMA,MÁLAGA,21:00 - 21:30,7,37.0
CARTAMA_2200_2230,54408,CARTAMA,MÁLAGA,22:00 - 22:30,3,18.0
CARTAMA_2300_2330,54408,CARTAMA,MÁLAGA,23:00 - 23:30,0,3.0
CAMPANILLAS_0600_0630,54410,CAMPANILLAS,MÁLAGA,06:00 - 06:30,2,0.0
CAMPANILLAS_0700_0730,54410,CAMPANILLAS,MÁLAGA,07:00 - 07:30,4,0.0
CAMPANILLAS_0800_0830,54410,CAMPANILLAS,MÁLAGA,08:00 - 08:30,6,2.0
CAMPANILLAS_0900_0930,54410,CAMPANILLAS,MÁLAGA,09:00 - 09:30,4,1.0
CAMPANILLAS_0930_1000,54410,CAMPANILLAS,MÁLAGA,09:30 - 10:00,1,3.0
CAMPANILLAS_1100_1130,54410,CAMPANILLAS,MÁLAGA,11:00 - 11:30,9,0.0
CAMPANILLAS_1130_1200,54410,CAMPANILLAS,MÁLAGA,11:30 - 12:00,5,2.0
CAMPANILLAS_1230_1300,54410,CAMPANILLAS,MÁLAGA,12:30 - 13:00,0,1.0
CAMPANILLAS_1300_1330,54410,CAMPANILLAS,MÁLAGA,13:00 - 13:30,6,0.0
