Id,Name,Type,Phase,Address,Status,Gender,Town,x,y
school_london_Victory_School,Victory School,Community School,Primary,Elba Place,Open,Mixed,Southwark,-0.092848,51.4929008
school_london_Viking_Primary_School,Viking Primary School,Community School,Primary,Radcliffe Way,Open,Mixed,Ealing,-0.392642,51.5334015
school_london_Village_Infants'_School,Village Infants' School,Community School,Primary,Ford Road,Open,Mixed,Barking And Dagenham,0.152568,51.5387001
school_london_Villiers_High_School,Villiers High School,Foundation School,Secondary,Boyd Avenue,Open,Mixed,Ealing,-0.374068,51.5088005
school_london_Virginia_Primary_School,Virginia Primary School,Community School,Primary,Virginia Road,Open,Mixed,Tower Hamlets,-0.0753736,51.5265007
school_london_Virgo_Fidelis_Convent_Senior_School,Virgo Fidelis Convent Senior School,Voluntary Aided School,Secondary,147 Central Hill,Open,Girls,Croydon,-0.0945136,51.4215012
school_london_Virgo_Fidelis_Preparatory_School,Virgo Fidelis Preparatory School,Other Independent School,Not applicable,Central Hill,Open,Mixed,Croydon,-0.0945136,51.4215012
school_london_Vishnitz_Girls_School,Vishnitz Girls School,Other Independent School,Not applicable,49 Amhurst Park,Open,Girls,Hackney,-0.079722,51.574501
school_london_Vita_Et_Pax_School,Vita Et Pax School,Other Independent School,Not applicable,6a Priory Close,Open,Mixed,Enfield,-0.137765,51.6447983
school_london_Vittoria_Primary_School,Vittoria Primary School,Community School,Primary,Half Moon Crescent,Open,Mixed,Islington,-0.113352,51.5354004
school_london_Vyners_School,Vyners School,Academy Converter,Secondary,Warren Road,Open,Mixed,Hillingdon,-0.462099,51.5584984
school_london_Waldegrave_School,Waldegrave School,Academy Converter,Secondary,Fifth Cross Road,Open,Mixed,Richmond Upon Thames,-0.351008,51.4393997
school_london_Walker_Primary_School,Walker Primary School,Community School,Primary,Waterfall Road,Open,Mixed,Enfield,-0.127308,51.6253014
school_london_Wallace_Fields_Infant_School,Wallace Fields Infant School,Community School,Primary,Wallace Fields,Open,Mixed,Epsom And Ewell,-0.247492,51.3345985
school_london_Wallace_Fields_Junior_School,Wallace Fields Junior School,Community School,Primary,Dorling Drive,Open,Mixed,Epsom And Ewell,-0.24791,51.3361015
school_london_Wallington_County_Grammar_School,Wallington County Grammar School,Academy Converter,Secondary,Croydon Road,Open,Boys,Sutton,-0.14919,51.3689995
school_london_Wallington_High_School_For_Girls,Wallington High School For Girls,Academy Converter,Secondary,Woodcote Road,Open,Girls,Sutton,-0.148859,51.3479996
school_london_Walmer_Road_School,Walmer Road School,Other Independent School,Not applicable,221 Walmer Road,Open,Mixed,Kensington And Chelsea,-0.212082,51.5125008
school_london_Walnut_Tree_Walk_Primary_School,Walnut Tree Walk Primary School,Community School,Primary,Walnut Tree Walk,Open,Mixed,Lambeth,-0.113349,51.4939003
school_london_Waltham_Holy_Cross_Primary_School,Waltham Holy Cross Primary School,Foundation School,Primary,Quendon Drive,Open,Mixed,Epping Forest,0.0056392,51.6894989
school_london_Walthamstow_Academy,Walthamstow Academy,Academy Sponsor Led,Secondary,Billet Road,Open,Mixed,Waltham Forest,-0.024391,51.5994987
school_london_Walthamstow_Montessori_School,Walthamstow Montessori School,Other Independent School,Not applicable,Penryhn Hall,Open,Mixed,Waltham Forest,-0.0225844,51.5974998
school_london_Walthamstow_Primary_Academy,Walthamstow Primary Academy,Free Schools,Primary,Billet Road,Open,Mixed,Waltham Forest,-0.0239024,51.6011009
school_london_Walthamstow_School_For_Girls,Walthamstow School For Girls,Community School,Secondary,Church Hill,Open,Girls,Waltham Forest,-0.0139788,51.5853004
school_london_Walton_Oak_Primary_School,Walton Oak Primary School,Community School,Primary,Ambleside Avenue,Open,Mixed,Elmbridge,-0.400499,51.3830986
school_london_Wandle_Valley_School,Wandle Valley School,Academy Special Converter,Not applicable,Welbeck Road,Open,Mixed,Sutton,-0.170127,51.3837013
school_london_Wandsworth_Preparatory_School,Wandsworth Preparatory School,Other Independent School,Not applicable,The Old Library,Open,Mixed,Wandsworth,-0.183867,51.4539986
school_london_Wanstead_Church_School,Wanstead Church School,Voluntary Aided School,Primary,Church Path,Open,Mixed,Redbridge,0.024633,51.5788002
school_london_Wanstead_High_School,Wanstead High School,Community School,Secondary,Redbridge Lane West,Open,Mixed,Redbridge,0.0362596,51.5756989
school_london_Wapping_High_School,Wapping High School,Free Schools,Secondary,153 Commercial Road,Open,Mixed,Tower Hamlets,-0.0610123,51.5149994
school_london_Warley_Primary_School,Warley Primary School,Community School,Primary,Chindits Lane,Open,Mixed,Brentwood,0.300522,51.6049004
school_london_Warlingham_Park_School,Warlingham Park School,Other Independent School,Not applicable,Chelsham Common,Open,Mixed,Tandridge,-0.0318917,51.3158989
school_london_Warlingham_School,Warlingham School,Academy Converter,Secondary,Tithepit Shaw Lane,Open,Mixed,Tandridge,-0.0688661,51.3174019
school_london_Warlingham_Village_Primary_School,Warlingham Village Primary School,Academy Sponsor Led,Primary,85 Farleigh Road,Open,Mixed,Tandridge,-0.0487224,51.3119011
school_london_Warren_Dell_Primary_School,Warren Dell Primary School,Community School,Primary,Gosforth Lane,Open,Mixed,Three Rivers,-0.391144,51.6286011
school_london_Warren_Junior_School,Warren Junior School,Community School,Primary,Gordon Road,Open,Mixed,Barking And Dagenham,0.142652,51.5763016
school_london_Warren_Mead_Infant_School,Warren Mead Infant School,Community School,Primary,Partridge Mead,Open,Mixed,Reigate And Banstead,-0.228441,51.323101
school_london_Warren_Mead_Junior_School,Warren Mead Junior School,Academy Converter,Primary,Roundwood Way,Open,Mixed,Reigate And Banstead,-0.227953,51.3241997
school_london_Warren_Primary_School,Warren Primary School,Community School,Primary,Gilbert Road,Open,Mixed,Thurrock,0.293924,51.4892006
school_london_Warren_Road_Primary_School,Warren Road Primary School,Academy Converter,Primary,Warren Road,Open,Mixed,Bromley,0.0914747,51.3605995
school_london_Warrender_Primary_School,Warrender Primary School,Community School,Primary,Old Hatch Manor,Open,Mixed,Hillingdon,-0.414516,51.577301
school_london_Watergate_School,Watergate School,Foundation Special School,Not applicable,Lushington Road,Open,Mixed,Lewisham,-0.0219562,51.4253998
school_london_Watford_Field_School_(infant_&_Nursery),Watford Field School (infant & Nursery),Community School,Primary,Neal Street,Open,Mixed,Watford,-0.393834,51.6493988
school_london_Watford_Grammar_School_For_Boys,Watford Grammar School For Boys,Academy Converter,Secondary,Rickmansworth Road,Open,Boys,Watford,-0.414336,51.6549988
school_london_Watford_Grammar_School_For_Girls,Watford Grammar School For Girls,Academy Converter,Secondary,Lady's Close,Open,Girls,Watford,-0.397646,51.652401
school_london_Watling_Park_School,Watling Park School,Free Schools,Primary,Pavilion Way,Open,Mixed,Barnet,-0.269204,51.6076012
school_london_Waverley_School,Waverley School,Community Special School,Not applicable,105 The Ride,Open,Mixed,Enfield,-0.0448081,51.6509018
school_london_Weald_Rise_Primary_School,Weald Rise Primary School,Community School,Primary,Robin Hood Drive,Open,Mixed,Harrow,-0.331429,51.607399
school_london_Welbourne_Primary_School,Welbourne Primary School,Community School,Primary,Stainby Road,Open,Mixed,Haringey,-0.0672994,51.5881004
school_london_Welldon_Park_Primary_School,Welldon Park Primary School,Community School,Primary,Kingsley Road,Open,Mixed,Harrow,-0.351077,51.5612984
school_london_Welling_School,Welling School,Academy Converter,Secondary,Elsa Road,Open,Mixed,Bexley,0.114077,51.4679985
school_london_Wellington_Primary_School,Wellington Primary School,Community School,Primary,Wellington Way,Open,Mixed,Tower Hamlets,-0.0242568,51.5256996
school_london_Wells_Park_School,Wells Park School,Community Special School,Not applicable,School Lane,Open,Mixed,Epping Forest,0.101756,51.6148987
school_london_Wells_Primary_School,Wells Primary School,Community School,Primary,Barclay Oval,Open,Mixed,Redbridge,0.0272981,51.6166
school_london_Wembley_High_Technology_College,Wembley High Technology College,Academy Converter,All Through,East Lane,Open,Mixed,Brent,-0.310571,51.5630989
school_london_Wembley_Primary_School,Wembley Primary School,Community School,Primary,East Lane,Open,Mixed,Brent,-0.293702,51.5615997
school_london_Wemms_Education_Centre,Wemms Education Centre,Other Independent School,Not applicable,50 The Street,Open,Mixed,Mole Valley,-0.299535,51.3092995
school_london_Wendell_Park_Primary_School,Wendell Park Primary School,Community School,Primary,Cobbold Road,Open,Mixed,Hammersmith And Fulham,-0.248981,51.5032997
school_london_Wentworth_Primary_School,Wentworth Primary School,Academy Converter,Primary,Wentworth Drive,Open,Mixed,Dartford,0.187843,51.4440002
school_london_Wentworth_Tutorial_College,Wentworth Tutorial College,Other Independent School,Not applicable,6-10 Brentmead Place,Open,Mixed,Barnet,-0.21287,51.5806999
school_london_Wessex_Gardens_Primary_School,Wessex Gardens Primary School,Community School,Primary,Wessex Gardens,Open,Mixed,Barnet,-0.209656,51.5718002
school_london_West_Acton_Primary_School,West Acton Primary School,Community School,Primary,Noel Road,Open,Mixed,Ealing,-0.278475,51.5175018
school_london_West_Ashtead_Primary_School,West Ashtead Primary School,Community School,Primary,Taleworth Road,Open,Mixed,Mole Valley,-0.30792,51.3036995
school_london_West_Drayton_Primary_School,West Drayton Primary School,Community School,Primary,Kingston Lane,Open,Mixed,Hillingdon,-0.466499,51.5052986
school_london_West_Ewell_Infant_School,West Ewell Infant School,Community School,Primary,Ruxley Lane,Open,Mixed,Epsom And Ewell,-0.267916,51.3628998
school_london_West_Green_Primary_School,West Green Primary School,Community School,Primary,Woodlands Park Road,Open,Mixed,Haringey,-0.0936793,51.5848007
school_london_West_Grove_Primary_School,West Grove Primary School,Community School,Primary,218a Chase Road,Open,Mixed,Enfield,-0.125884,51.6366997
school_london_West_Ham_Church_Primary_School,West Ham Church Primary School,Voluntary Controlled School,Primary,Portway,Open,Mixed,Newham,0.0107532,51.5369987
school_london_West_Hatch_High_School,West Hatch High School,Academy Converter,Secondary,High Road,Open,Mixed,Epping Forest,0.0629221,51.6124992
school_london_West_Hill_Primary_School,West Hill Primary School,Community School,Primary,5 Merton Road,Open,Mixed,Wandsworth,-0.198818,51.4562988
school_london_West_Hill_School,West Hill School,Community Special School,Not applicable,Kingston Road,Open,Mixed,Mole Valley,-0.336164,51.3097
school_london_West_Horndon_Primary_School,West Horndon Primary School,Community School,Primary,Thorndon Avenue,Open,Mixed,Brentwood,0.344795,51.5728989
school_london_West_Lea_School,West Lea School,Community Special School,Not applicable,Haselbury Road,Open,Mixed,Enfield,-0.0781557,51.6236
school_london_West_Lodge_Primary_School,West Lodge Primary School,Community School,Primary,West End Lane,Open,Mixed,Harrow,-0.387961,51.5915985
