OID_,DISTRITO,BARRIO,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
3762,Latina,Aguilas,40.37785005,-3.76823157644204,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,Convenio cesión
3763,PuenteDeVallecas,PalomerasSureste,40.3840328,-3.6321218,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ECOLINERAS,Convenio cesión
3764,Hortaleza,Valdefuentes,40.497373499999995,-3.6630605563706506,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3765,Villaverde,Butarque,40.3398809,-3.6685848,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3766,VillaDeVallecas,EnsancheDeVallecas,40.37957475,-3.6196694000000003,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3767,SanBlas-Canillejas,Rejas,40.44889261022727,-3.569210905559255,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3770,Centro,Sol,40.4144807,-3.7035436244656923,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3771,Salamanca,Recoletos,40.424634210825076,-3.6903767172415045,4,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3772,Salamanca,Lista,40.4303981252484,-3.679972070404787,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3773,Chamartin,Castilla,40.47180720543637,-3.679376141640235,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3774,Centro,Palacio,40.4112736,-3.7083569,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVETHECITY,Iniciativa privada
3775,Centro,Universidad,40.429402,-3.7084165,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,REPSOL,Iniciativa privada
3776,Retiro,Adelfas,40.4062862,-3.669372242441858,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVETHECITY,Iniciativa privada
3777,Fuencarral-ElPardo,ElGoloso,40.5105475,-3.6903692,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3778,Hortaleza,Canillas,40.4648347,-3.6362258,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,GIC,Iniciativa privada
3779,Hortaleza,Valdefuentes,40.5004577,-3.65870715,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,GIC,Iniciativa privada
3780,VillaDeVallecas,CascoHistoricoDeVallecas,40.36572133138983,-3.652522724703893,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Iniciativa privada
3781,VillaDeVallecas,CascoHistoricoDeVallecas,40.36945160115506,-3.648605869554578,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,REPSOL,Iniciativa privada
3782,Barajas,Corralejos,40.458417,-3.616139,4,350 kW conector CC (CCS),350 kW,GIC,Iniciativa privada
3783,Barajas,Corralejos,40.46749475,-3.619366805586629,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3784,Arganzuela,PalosDeMoguer,40.40023520601303,-3.6910309587761834,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
3793,Moratalaz,Pavones,40.400725550000004,-3.634548272405329,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3798,Hortaleza,PinarDelRey,40.46949030227158,-3.642070521065105,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3801,Villaverde,Los Rosales,40.34849730172464,-3.690871377913514,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3804,Vicalvaro,Valderrivas,40.395520719633595,-3.6070539036291756,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
3807,VillaDeVallecas,CascoHistoricoDeVallecas,40.360642850000005,-3.6609847,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,Acuerdo bilateral
3808,VillaDeVallecas,CascoHistoricoDeVallecas,40.360642850000005,-3.6609847,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,Acuerdo bilateral
3809,VillaDeVallecas,CascoHistoricoDeVallecas,40.3603834,-3.662785350358371,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Acuerdo bilateral
3810,Retiro,Ibiza,38.5404,-0.1216588,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3811,Retiro,Jeronimos,40.41694360741295,-3.6932110991829568,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3812,Carabanchel,Buenavista,40.37277833627155,-3.728795634529903,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3814,Moncloa-Aravaca,Arguelles,40.4295828,-3.7190864,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3815,Villaverde,VillaverdeAlto,40.340804004142555,-3.7108612553710447,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3816,Tetuan,CuatroCaminos,40.449154449999995,-3.702887907930223,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,Convenio cesión
3818,Usera,Orcasur,40.3657879177848,-3.6977885493901366,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3819,Tetuan,CuatroCaminos,40.45241628338564,-3.696925727677478,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3820,Usera,Orcasur,40.36701283161155,-3.6955669738642656,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3822,Hortaleza,Apostol Santiago,40.47225181765033,-3.662773297838859,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Convenio cesión
3823,VillaDeVallecas,CascoHistoricoDeVallecas,40.35705474843336,-3.6604424289116912,3,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,Convenio cesión
3824,CiudadLineal,Ventas,40.426019499999995,-3.6585365242627796,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,Sudel,Convenio cesión
3825,CiudadLineal,Colina,40.46713797079046,-3.666093810197397,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3826,CiudadLineal,SanPascual,40.43994674407317,-3.656035472066064,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3827,Moratalaz,Marroquina,40.40796941629195,-3.6525121390545428,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3829,VillaDeVallecas,CascoHistoricoDeVallecas,40.36911725,-3.6310810607169968,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,Convenio cesión
3830,SanBlas-Canillejas,Simancas,40.426483,-3.626089,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,Convenio cesión
