OID_,DISTRITO,BARRIO,UBICACIÓN,DIRECCIÓN COMPLETA,LATITUD,LONGITUD,EMPLAZAMIENTO,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
3825,Ciudad Lineal,Colina,"Calle Arturo Soria, 175","Calle Arturo Soria, 175, Madrid",40.46713797079046,-3.666093810197397,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3826,Ciudad Lineal,San Pascual,Calle Verdaguer y García 5,"Calle Verdaguer y García 5 , Madrid",40.43994674407317,-3.656035472066064,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3827,Moratalaz,Marroquina,Plaza del Corregidor Sancho de Córdoba,"Plaza del Corregidor Sancho de Córdoba, Madrid",40.40796941629195,-3.6525121390545428,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3829,Villa de Vallecas,Casco Histórico de Vallecas,"Avenida Mayorazgo, 20","Avenida Mayorazgo, 20, Madrid",40.36911725,-3.6310810607169968,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,Convenio cesión
3830,San Blas - Canillejas,Simancas,"Avenida Arcentales, 7","Avenida Arcentales, 7, Madrid",40.426483,-3.626089,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,Convenio cesión
3831,San Blas - Canillejas,Simancas,Calle Alcalá 510,"Calle Alcalá 510 , Madrid",13.988601498154988,-89.64337070995305,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3832,San Blas - Canillejas,Arcos,"Avenida Canillejas a Vicálvaro, 80","Avenida Canillejas a Vicálvaro, 80, Madrid",40.41568966513148,-3.610518957029991,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,Convenio cesión
3833,San Blas - Canillejas,Rosas,"Avenida Canillejas a Vicálvaro, 147","Avenida Canillejas a Vicálvaro, 147, Madrid",40.41568966513148,-3.610518957029991,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,Cerdeira,Convenio cesión
3834,Villa de Vallecas,Ensanche de Vallecas,"Calle Alto del Retiro, s/n","Calle Alto del Retiro, s/n, Madrid",40.37067176003822,-3.5958235007572568,Estación de servicio,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3836,San Blas - Canillejas,Rejas,"Calle Deyanira, 10","Calle Deyanira, 10, Madrid",40.443436500000004,-3.5913736,Aparcamiento,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Convenio cesión
3838,San Blas - Canillejas,Rejas,"Calle Nanclares de Oca, 5-17","Calle Nanclares de Oca, 5-17, Madrid",40.4442757950714,-3.5793883223743195,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3839,Villa de Vallecas,Casco Histórico de Vallecas,"Avenida Eje Central, 7","Avenida Eje Central, 7, Madrid",40.36572133138983,-3.652522724703893,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Convenio cesión
3840,Centro,Justicia,Calle Génova 24,"Calle Génova 24, Madrid",40.4259414,-3.6925629,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3841,Villaverde,San Cristóbal,Calle Godella 116,"Calle Godella 116, Madrid",40.34100933888266,-3.6870498036603556,Vía pública,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
3843,Salamanca,Guindalera,"Calle Roberto Domingo, 4","Calle Roberto Domingo, 4, Madrid",40.43501535054218,-3.6610926328467954,Vía pública,2,1 equipo de 150 kW (DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A)) y 1 equipo de 50 kW (DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW)),150 kW,REPSOL,Convenio vía pública
3858,Tetuán,Almenara,"Calle San Aquilino, 1 B","Calle San Aquilino, 1 B, Madrid",40.46762976449039,-3.69074855660997,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3859,Chamartín,Prosperidad,Avenida de América 9,"Avenida de América 9, Madrid",40.4382236,-3.6768927,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3863,Villa de Vallecas,Casco Histórico de Vallecas,Avda. de Madrid,"Avda. de Madrid, Madrid",40.35904900182343,-3.661473377030333,Mercamadrid,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,,Acuerdo bilateral
3865,Fuencarral - El Pardo,Pilar,"Av. de Monforte de Lemos, 36","Av. de Monforte de Lemos, 36, Madrid",40.4795001,-3.7067216,Aparcamiento,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),50 kW,CC LA VAGUADA,Convenio cesión
4265,Villa de Vallecas,Casco Histórico de Vallecas,Avda. de Madrid,"Avda. de Madrid, Madrid",40.35904900182343,-3.661473377030333,Mercamadrid,1,150 kW DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),150 kW,,Acuerdo bilateral
4267,Fuencarral - El Pardo,El Goloso,CAMPUS CANTOBLANCO,"CAMPUS CANTOBLANCO, Madrid",40.5453765,-3.6949577655963672,Aparcamiento,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),50 kW,UAM,Convenio cesión
4269,Barajas,Corralejos,Vía Dublín s/n,"Vía Dublín s/n, Madrid",40.467575977534175,-3.612057772628916,Aparcamiento,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,Convenio Cesión
4270,Usera,Moscardó,"Calle Amparo Usera, 46","Calle Amparo Usera, 46, Madrid",40.3872262,-3.7065929,Mercado municipal,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,Convenio Cesión
4275,Latina,Aluche,"C. de S. Manuel, 7-1","C. de S. Manuel, 7-1, Madrid",40.40242503181887,-3.7605311241676658,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio Cesión
4280,Ciudad Lineal,San Juan Bautista,"Calle de Ramírez de Arellano, 2","Calle de Ramírez de Arellano, 2, Madrid",40.44958188490243,-3.652918299349679,Aparcamiento,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,ENDESA X SERVICIOS S.L.,Convenio Cesión
4281,Salamanca,Castellana,"Calle Serrano, 61","Calle Serrano, 61, Madrid",40.4321401,-3.6870755,Aparcamiento,1,"Conectores: DC- CCS Combo 2, 50 kW y CHAdeMO 50 kW.  Toma: AC- Tipo 2, 22 kW",50 kW,ENDESA X SERVICIOS S.L.,Convenio Cesión
