OID_,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,same_as_wikidata_operador,GESTIÓN
3751,Chamberi,https://wikidata.org/entity/Q1763370,Almagro,https://wikidata.org/entity/Q10954432,40.432546849999994,-3.689709965103191,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3752,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,LaPaz,https://wikidata.org/entity/Q5869740,40.464557363988376,-3.7202385444409805,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3753,CiudadLineal,https://wikidata.org/entity/Q1763694,SanJuanBautista,https://wikidata.org/entity/Q165609,40.45580656678009,-3.6513658591835845,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3754,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,40.4112736,-3.7083569,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVETHECITY,,Convenio cesión
3755,Chamartin,https://wikidata.org/entity/Q1766348,NuevaEspana,https://wikidata.org/entity/Q10338128,40.46617765,-3.6887179999999997,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3756,Tetuan,https://wikidata.org/entity/Q1773540,Berruguete,https://wikidata.org/entity/Q11909208,40.462464837050426,-3.708133373751736,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3757,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,Valverde,https://wikidata.org/entity/Q31132,40.501784538856604,-3.6633144895875667,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3758,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,CiudadUniversitaria,https://wikidata.org/entity/Q3319235,40.4609678,-3.7582946,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3759,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,ElPlantio,https://wikidata.org/entity/Q3773742,40.4470752,-3.7103844,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3760,Latina,https://wikidata.org/entity/Q794954,CuatroVientos,https://wikidata.org/entity/Q5191881,40.40811867007341,-3.7438917516720798,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3761,Latina,https://wikidata.org/entity/Q794954,CuatroVientos,https://wikidata.org/entity/Q5191881,40.3683387,-3.7658482,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3762,Latina,https://wikidata.org/entity/Q794954,Aguilas,https://wikidata.org/entity/Q5971372,40.37785005,-3.76823157644204,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Convenio cesión
3763,PuenteDeVallecas,https://wikidata.org/entity/Q2003054,PalomerasSureste,https://wikidata.org/entity/Q10343901,40.3840328,-3.6321218,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ECOLINERAS,,Convenio cesión
3764,Hortaleza,https://wikidata.org/entity/Q1928529,Valdefuentes,https://wikidata.org/entity/Q10388714,40.497373499999995,-3.6630605563706506,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Convenio cesión
