ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
997506087,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997476840,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997556203,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997799836,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997305855,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
997577096,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997487859,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997814549,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
446659294,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,ELECTRICO
446786644,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
446593835,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
446311550,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
446608797,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,ELECTRICO
446329132,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
446982294,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
446574352,Salamanca,CASTELLANA,TURISMO,Cero Emisiones,ELECTRICO
446791707,Salamanca,CASTELLANA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
887230286,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887911278,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887707391,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887366332,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887355475,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887773461,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887505957,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887426992,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
887744802,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887293590,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887137081,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
88777914,Fuencarral - El Pardo,MIRASIERRA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
997549978,Moncloa - Aravaca,ARAVACA,TURISMO,Cero Emisiones,ELECTRICO
997122306,Moncloa - Aravaca,ARAVACA,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
55072232,Chamartin,--,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10101287764,Latina,LOS CARMENES,TURISMO,Cero Emisiones,ELECTRICO
10101727552,Latina,LOS CARMENES,TURISMO,Cero Emisiones,ELECTRICO
10101570783,Latina,LOS CARMENES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10101234756,Latina,LOS CARMENES,TURISMO,Cero Emisiones,ELECTRICO
888596324,Fuencarral - El Pardo,EL GOLOSO,CAMION,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
551211507,Chamartin,EL VISO,TURISMO,Cero Emisiones,ELECTRICO
551850629,Chamartin,EL VISO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
551368150,Chamartin,EL VISO,TURISMO,Cero Emisiones,ELECTRICO
551103876,Chamartin,EL VISO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
55196620,Chamartin,EL VISO,TURISMO,Cero Emisiones,ELECTRICO
55152276,Chamartin,EL VISO,TURISMO,Cero Emisiones,ELECTRICO
551319480,Chamartin,EL VISO,TURISMO,Cero Emisiones,ELECTRICO
88890933,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888565348,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888239640,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
888813935,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
888557638,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
8887517,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888451661,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
888264847,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888478365,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888125207,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
888992677,Fuencarral - El Pardo,EL GOLOSO,TURISMO,Cero Emisiones,ELECTRICO
884728501,Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
884238636,Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
884366664,Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
884308865,Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
884660249,Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
884941892,Fuencarral - El Pardo,PILAR,TURISMO,Cero Emisiones,ELECTRICO
884328245,Fuencarral - El Pardo,PILAR,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
551580358,Chamartin,EL VISO,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
551848191,Chamartin,EL VISO,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
99027012,Moncloa - Aravaca,--,TURISMO,Cero Emisiones,ELECTRICO
552811887,Chamartin,PROSPERIDAD,CAMION,Cero Emisiones,ELECTRICO
887980114,Fuencarral - El Pardo,MIRASIERRA,CAMION,Cero Emisiones,ELECTRICO
10102389447,Latina,PUERTA DEL ANGEL,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10102362794,Latina,PUERTA DEL ANGEL,TURISMO,Cero Emisiones,ELECTRICO
10102964211,Latina,PUERTA DEL ANGEL,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
1010226583,Latina,PUERTA DEL ANGEL,TURISMO,Cero Emisiones,ELECTRICO
991950065,Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
991767361,Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,ELECTRICO
991450675,Moncloa - Aravaca,CASA DE CAMPO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
552986940,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
552904381,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,ELECTRICO
552982723,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
552883602,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
552881065,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,ELECTRICO
55246303,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,ELECTRICO
552981860,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
552542841,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,ELECTRICO
552881749,Chamartin,PROSPERIDAD,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
552736053,Chamartin,PROSPERIDAD,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
887357635,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887636097,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887220302,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887441966,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
88796959,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887966430,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887753404,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887441736,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887145170,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887876684,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
887327559,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887868053,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
