tipo_establecimiento,tipo_titularidad,direccion_completa,municipio_nombre,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,direccion_coordenada_x,direccion_coordenada_y,codigo_dea
Establecimiento público con aforo igual o superior a 2000 personas,Pública,"Madrid, Plaza, de Cibeles, 1, 28014",Madrid,Plaza,de Cibeles,1,28014,441281,4474489,"2018-413"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Cifuentes, S/N, 28021",Madrid,Calle,de Cifuentes,S/N,28021,440760,4466624,"2018-62"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Cifuentes, s/n, 28021",Madrid,Calle,de Cifuentes,s/n,28021,440760,4466624,"2018-63"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Cifuentes, 5, 28021",Madrid,Calle,de Cifuentes,5,28021,440917,4466665,"2019-204"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Cifuentes, 5, 28021",Madrid,Calle,de Cifuentes,5,28021,440917,4466665,"2019-202"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Cifuentes, 5, 28021",Madrid,Calle,de Cifuentes,5,28021,470917,4466665,"2019-123"
Centro educativo,Privada,"Madrid, Calle, del Cinca, 20, 28002",Madrid,Calle,del Cinca,20,28002,442292,4477863,"2024-930"
Otros,Privada,"Madrid, Calle, de Prat, 59, 28032",Madrid,Calle,de Prat,59,28032,469170,4454658,"2023-435"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Calle, de Preciados, 1, 28013",Madrid,Calle,de Preciados,1,28013,440251,4474315,"2018-2277"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Calle, de Preciados, 3, 28013",Madrid,Calle,de Preciados,3,28013,440161,4474370,"2018-2278"
Centro educativo,Privada,"Madrid, Calle, de Francisco Laguna, 21, 28053",Madrid,Calle,de Francisco Laguna,21,28053,443147,4471330,"2019-399"
Centro educativo,Privada,"Madrid, Calle, de Francisco Madariaga, 26, 28017",Madrid,Calle,de Francisco Madariaga,26,28017,445659,4476265,"2023-761"
Otros,Privada,"Madrid, Calle, de Francisco Medrano, 4, 28020",Madrid,Calle,de Francisco Medrano,4,28020,440717,4478906,"2024-749"
Centro educativo,Privada,"Madrid, Plaza, de Francisco Morano, 0, 28005",Madrid,Plaza,de Francisco Morano,0,28005,439302,4472920,"2024-521"
Otros,Privada,"Madrid, Calle, de Francisco Remiro, 2, 28028",Madrid,Calle,de Francisco Remiro,2,28028,443220,4476556,"2023-263"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Francisco Rioja, 14, 28017",Madrid,Calle,de Francisco Rioja,14,28017,445860,4475670,"2022-280"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Francisco Sancha, 12, 28034",Madrid,Calle,de Francisco Sancha,12,28034,441785,4482036,"2018-1309"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Francisco Sancha, 12, 28034",Madrid,Calle,de Francisco Sancha,12,28034,441788,4482047,"2018-1310"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Francisco Silvela, 42, 28028",Madrid,Calle,de Francisco Silvela,42,28028,442923,4476080,"2018-2704"
Otros,Privada,"Madrid, Calle, de Francisco Silvela, 42, 28028",Madrid,Calle,de Francisco Silvela,42,28028,442920,4476081,"2019-2206"
Otros,Privada,"Madrid, Calle, de Francisco Silvela, 80, 28028",Madrid,Calle,de Francisco Silvela,80,28028,442637,4476448,"2023-399"
Centro educativo,Privada,"Madrid, Calle, de Frascuelo, 2, 28043",Madrid,Calle,de Frascuelo,2,28043,445292,4478404,"2018-176"
Centro educativo,Privada,"Madrid, Calle, de Fray Junípero Serra, 31, 28039",Madrid,Calle,de Fray Junípero Serra,31,28039,440645,4479518,"2018-2228"
Otros,Pública,"Madrid, Calle, de Fruela, 6, 28011",Madrid,Calle,de Fruela,6,28011,437969,4473928,"2019-516"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Santa Leonor, 65, 28037",Madrid,Calle,de Santa Leonor,65,28037,446835,4476044,"2019-1161"
Otros,Privada,"Madrid, Calle, de Santa Leonor, 55, 28037",Madrid,Calle,de Santa Leonor,55,28037,446575,4476280,"2022-189"
Otros,Privada,"Madrid, Calle, de Santa Leonor, 8, 28037",Madrid,Calle,de Santa Leonor,8,28037,446325,4476630,"2019-918"
Otros,Privada,"Madrid, Calle, de Santa Leonor, 39, 28037",Madrid,Calle,de Santa Leonor,39,28037,446510,4476433,"2018-2545"
Otros,Privada,"Madrid, Calle, de Santa Leonor, 39, 28037",Madrid,Calle,de Santa Leonor,39,28037,446510,4476433,"2022-1190"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Santa Leonor, 32, 28037",Madrid,Calle,de Santa Leonor,32,28037,446453,4476475,"2019-61"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Santa Leonor, 65, 28037",Madrid,Calle,de Santa Leonor,65,28037,446767,4475933,"2018-1322"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, de Santa Leonor, 34, 28037",Madrid,Calle,de Santa Leonor,34,28037,446462,4476452,"2024-685"
Otros,Privada,"Valdemoro, Calle, Buzanca, 11, 28343",Valdemoro,Calle,Buzanca,11,28343,444315,4447009,"2024-541"
Centro educativo,Privada,"Valdemoro, Plaza, del Conde, 5, 28342",Valdemoro,Plaza,del Conde,5,28342,442266,4449287,"2019-352"
Establecimiento dependiente de una Administración Pública,Pública,"Valdemoro, Paseo, de la Estación, 17, 28343",Valdemoro,Paseo,de la Estación,17,28343,442885,4449354,"2019-746"
