codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2018-1309,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Francisco Sancha 12 28034 Madrid,Calle,de Francisco Sancha,12,28034,Madrid,441785,4482036.0
2018-1310,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Francisco Sancha 12 28034 Madrid,Calle,de Francisco Sancha,12,28034,Madrid,441788,4482047.0
2018-2704,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Francisco Silvela 42 28028 Madrid,Calle,de Francisco Silvela,42,28028,Madrid,442923,4476080.0
2019-2206,Otros,Privada,Calle de Francisco Silvela 42 28028 Madrid,Calle,de Francisco Silvela,42,28028,Madrid,442920,4476081.0
2023-399,Otros,Privada,Calle de Francisco Silvela 80 28028 Madrid,Calle,de Francisco Silvela,80,28028,Madrid,442637,4476448.0
2018-176,Centro educativo,Privada,Calle de Frascuelo 2 28043 Madrid,Calle,de Frascuelo,2,28043,Madrid,445292,4478404.0
2018-2228,Centro educativo,Privada,Calle de Fray Junípero Serra 31 28039 Madrid,Calle,de Fray Junípero Serra,31,28039,Madrid,440645,4479518.0
2019-516,Otros,Pública,Calle de Fruela 6 28011 Madrid,Calle,de Fruela,6,28011,Madrid,437969,4473928.0
2019-1161,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Santa Leonor 65 28037 Madrid,Calle,de Santa Leonor,65,28037,Madrid,446835,4476044.0
2022-189,Otros,Privada,Calle de Santa Leonor 55 28037 Madrid,Calle,de Santa Leonor,55,28037,Madrid,446575,4476280.0
2019-918,Otros,Privada,Calle de Santa Leonor 8 28037 Madrid,Calle,de Santa Leonor,8,28037,Madrid,446325,4476630.0
2018-2545,Otros,Privada,Calle de Santa Leonor 39 28037 Madrid,Calle,de Santa Leonor,39,28037,Madrid,446510,4476433.0
2022-1190,Otros,Privada,Calle de Santa Leonor 39 28037 Madrid,Calle,de Santa Leonor,39,28037,Madrid,446510,4476433.0
2019-61,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Santa Leonor 32 28037 Madrid,Calle,de Santa Leonor,32,28037,Madrid,446453,4476475.0
2018-1322,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Santa Leonor 65 28037 Madrid,Calle,de Santa Leonor,65,28037,Madrid,446767,4475933.0
2024-685,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Santa Leonor 34 28037 Madrid,Calle,de Santa Leonor,34,28037,Madrid,446462,4476452.0
2024-541,Otros,Privada,Calle Buzanca 11 28343 Valdemoro,Calle,Buzanca,11,28343,Valdemoro,444315,4447009.0
2019-352,Centro educativo,Privada,Plaza del Conde 5 28342 Valdemoro,Plaza,del Conde,5,28342,Valdemoro,442266,4449287.0
2019-746,Establecimiento dependiente de una Administración Pública,Pública,Paseo de la Estación 17 28343 Valdemoro,Paseo,de la Estación,17,28343,Valdemoro,442885,4449354.0
2019-2876,Instalaciones de transporte,Pública,Paseo de la Estación 0 28343 Valdemoro,Paseo,de la Estación,0,28343,Valdemoro,443411,4449735.0
2018-1785,Centro educativo,Pública,Calle Fuentecilla 18 28341 Valdemoro,Calle,Fuentecilla,18,28341,Valdemoro,441777,4448658.0
2021-620,Otros,Pública,Calle los Cerezos 0 28229 Villanueva del Pardillo,Calle,los Cerezos,0,28229,Villanueva del Pardillo,420315,4482463.0
2021-628,Centros residenciales de mayores con 200 plazas,Pública,Cmno del Caño 3 28229 Villanueva del Pardillo,Cmno,del Caño,3,28229,Villanueva del Pardillo,418259,4482485.0
2019-2323,Centro educativo,Pública,Calle Colmenarejo 40 28229 Villanueva del Pardillo,Calle,Colmenarejo,40,28229,Villanueva del Pardillo,414834,4492097.0
2021-725,Centro educativo,Pública,Calle Colmenarejo 17 28229 Villanueva del Pardillo,Calle,Colmenarejo,17,28229,Villanueva del Pardillo,418175,4482660.0
2017-173,Centro educativo,Pública,Calle de Maqueda 8 28024 Madrid,Calle,de Maqueda,8,28024,Madrid,435023,4471800.0
2018-372,Centro educativo,Privada,Calle de Maqueda 2 28024 Madrid,Calle,de Maqueda,2,28024,Madrid,435042,4471838.0
2018-738,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,Calle de Maqueda 30 28024 Madrid,Calle,de Maqueda,30,28024,Madrid,435053,4471716.0
