tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de Preciados;3;;;28013;Planta baja -entrada Departamento de Seguridad ;440161;4474370;-3,70533641507772;40,417805217352;;2018-2278
Centro educativo;Privada;079;Madrid;CALLE;de Francisco Laguna;21;;;28053;;443147;4471330;-3,66987052717279;40,3906285652175;;2019-399
Centro educativo;Privada;079;Madrid;CALLE;de Francisco Madariaga;26;;;28017;Hall principal LICEO ;445659;4476265;-3,64069619836998;40,4352536386574;;2023-761
Otros;Privada;079;Madrid;CALLE;de Francisco Medrano;4;;;28020;EN LA ENTRADA PRINCIPAL, A LA DERECHA DE RECEPCION grupo3 galeon sl;440717;4478906;-3,69920638551561;40,4587073251435;9-19:30;2024-749
Centro educativo;Privada;079;Madrid;PLAZA;de Francisco Morano;0;;;28005;POLICLINICA UNIVERSITARIA ;439302;4472920;-3,7153225811486;40,4046807447231;DE LUNES A VIERNES DE 8 A 22H;2024-521
Otros;Privada;079;Madrid;CALLE;de Francisco Remiro;2;;;28028;Voldis Express ;443220;4476556;-3,66947689747053;40,4377121762632;7:00h a 18:00h;2023-263
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Francisco Rioja;14;;;28017;CENTRO DEPORTIVO MUNICIPAL PUEBLO NUEVO ;445860;4475670;-3,63827580632588;40,4299066500167;;2022-280
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Francisco Sancha;12;3ª;;28034;TERCERA PLANTA A LA DCHA -EN EL SERVICIO MÉDICO REDSYS SERVICIOS DE PROCESAMIENTO;441785;4482036;-3,6868981173127;40,4869791714675;;2018-1309
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Francisco Sancha;12;;;28034;HALL DE ENTRADA NIVEL DE CALLE junto arco seguridad REDSYS SERVICIOS DE PROCESAMIENTO;441788;4482047;-3,68686373195716;40,4870784741637;;2018-1310
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Francisco Silvela;42;;;28028;RECEPCION ;442923;4476080;-3,67293575929753;40,4334037988339;24 HORAS;2018-2704
Otros;Privada;079;Madrid;CALLE;de Francisco Silvela;42;4;;28028;EN PASILLO JUNTO BAÑOS PRINCIPALES OFICINA ;442920;4476081;-3,67297121668564;40,4334126014598;L-V 8-20 H;2019-2206
Otros;Privada;079;Madrid;CALLE;de Francisco Silvela;80;;;28028;METAGYM ;442637;4476448;-3,67634068376077;40,4366992492115;"L a V 7h a 22:30h; S y D 10h a 15h";2023-399
Centro educativo;Privada;079;Madrid;CALLE;de Frascuelo;2;;;28043;ZONA DE SECRETARÍA COELGIO BRAINS;445292;4478404;-3,64520720518745;40,4544988367724;;2018-176
Centro educativo;Privada;079;Madrid;CALLE;de Fray Junípero Serra;31;;;28039;RECEPCIÓN DEL CENTRO - EN LA ENTRADA ;440645;4479518;-3,70011275640289;40,4642153314877;;2018-2228
Otros;Pública;079;Madrid;CALLE;de Fruela;6;;;28011;Hall entrada junto a escaleras ;437969;4473928;-3,73112897510732;40,4136629937206;8:30 A 18:00;2019-516
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Santa Leonor;65;;;28037;EDIFICIO D ;446835;4476044;-3,62681312424423;40,433338748813;;2019-1161
Otros;Privada;079;Madrid;CALLE;de Santa Leonor;55;;;28037;HALL ENTRADA ;446575;4476280;-3,62989817735772;40,4354481134551;;2022-189
Otros;Privada;079;Madrid;CALLE;de Santa Leonor;8;;;28037;ENTRADA, ZONA DE ESPERA ;446325;4476630;-3,6328751529744;40,4385850158025;L A J DE 9:00 A 19:00 / V Y VERANO DE 9:00 A 15.00;2019-918
Otros;Privada;079;Madrid;CALLE;de Santa Leonor;39;BJA;;28037;SALA DE ACCESO AL COMEDOR. PLANTA BAJA ;446510;4476433;-3,63067738323177;40,4368222474129;L-V: 6:30-22:00;2018-2545
Otros;Privada;079;Madrid;CALLE;de Santa Leonor;39;;;28037;planta baja , acceso edificio ;446510;4476433;-3,63067738323177;40,4368222474129;L-V 6.30-22;2022-1190
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Santa Leonor;32;;;28037;CAIXABANK ;446453;4476475;-3,63135294606472;40,4371969393007;8:00-20:00;2019-61
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Santa Leonor;65;BAJA;IZQ.;28037;EDIFICIO G. PARQUE EMPRESARIAL AVALON UST GLOBAL ESPAÑA SAU;446767;4475933;-3,62760549886722;40,4323344464424;08:00-19:00;2018-1322
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;CALLE;de Santa Leonor;34;;;28037;Hotel Travelodge Madrid Metropolitano, recepción ;446462;4476452;-3,63124489864906;40,4369903215834;24H;2024-685
Otros;Privada;161;Valdemoro;CALLE;Buzanca;11;;;28343;PUERTA DE LA DERECHA DE RECEPCION ;444315;4447009;-3,65399468720318;40,171605072595;8:30-16:30;2024-541
Centro educativo;Privada;161;Valdemoro;PLAZA;del Conde;5;;;28342;cuarto megafonía ;442266;4449287;-3,67826202628116;40,1919888915569;;2019-352
Establecimiento dependiente de una Administración Pública;Pública;161;Valdemoro;PASEO;de la Estación;17;;;28343;O.EMPLEO ;442885;4449354;-3,67099640519932;40,1926348625916;8:30-14:30;2019-746
Instalaciones de transporte;Pública;161;Valdemoro;PASEO;de la Estación;0;;;28343;Estación Cercanías Valdemoro ;443411;4449735;-3,66485078623148;40,1961029013588;;2019-2876
