ID,NOMBRE,HORARIO,PLAZAS,ACCESIBILIDAD,VIA,same_as_wikidata_via,NUMERO,BARRIO,same_as_wikidata_barrio,COD-BARRIO,DISTRITO,same_as_wikidata_distrito,COD-DISTRITO
A-24,Aparcamiento mixto. Miguel Yuste,Abierto 24 horas,168,false,CALLE MIGUEL YUSTE,,64,Simancas,https://wikidata.org//entity/Q10371626,20-01,San Blas-Canillejas,https://wikidata.org//entity/Q2001937,"20"
A-25,Aparcamiento mixto. Montalbán,Abierto 24 horas,130,true,"Calle de Montalbán, Madrid",https://wikidata.org//entity/Q29903983,4,Jerónimos,https://wikidata.org//entity/Q10306766,03-05,Retiro,https://wikidata.org//entity/Q2002296,"03"
A-26,Aparcamiento mixto. Orense,Abierto 24 horas,129,false,avenida de Brasil,https://wikidata.org//entity/Q27212874,2,Cuatro Caminos,https://wikidata.org//entity/Q5824684,06-02,Tetuán,https://wikidata.org//entity/Q1773540,"06"
A-27,Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella',Abierto 24 horas,107,false,plaza de Pedro Zerolo,https://wikidata.org//entity/Q6080146,1,Justicia,https://wikidata.org//entity/Q1992319,13-04,Centro,https://wikidata.org//entity/Q1763376,"13"
A-28,Aparcamiento mixto. Plaza de Oriente,Abierto 24 horas,242,false,Oriente square,https://wikidata.org//entity/Q2193218,9,Palacio,https://wikidata.org//entity/Q2136510,01-01,Centro,https://wikidata.org//entity/Q1763376,"01"
A-29,Aparcamiento mixto. Plaza de Santo Domingo,,320,true,Plaza de Santo Domingo,https://wikidata.org//entity/Q6080106,,Palacio,https://wikidata.org//entity/Q2136510,01-01,Centro,https://wikidata.org//entity/Q1763376,"01"
A-30,Aparcamiento mixto. Plaza Mayor,Abierto 24 horas,415,false,Main Square,https://wikidata.org//entity/Q1123493,1,Sol,https://wikidata.org//entity/Q2465181,01-06,Centro,https://wikidata.org//entity/Q1763376,"01"
A-31,Aparcamiento mixto. Presidente Carmona,De lunes a domingo servicio ininterrumpidoAbierto 24 horas,127,false,Avenida del General Perón,https://wikidata.org//entity/Q26761632,21,Cuatro Caminos,https://wikidata.org//entity/Q5824684,06-02,Tetuán,https://wikidata.org//entity/Q1773540,"06"
A-32,Aparcamiento mixto. Recoletos,Abierto 24 horas,102,false,Paseo de Recoletos,https://wikidata.org//entity/Q2550870,4,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-33,Aparcamiento mixto. República Dominicana,Abierto 24 horas,209,false,PLAZA REPUBLICA DOMINICANA,,6,Nueva España,https://wikidata.org//entity/Q10338128,05-05,Chamartín,https://wikidata.org//entity/Q1766348,"05"
A-34,Aparcamiento mixto. Reyes Magos,Abierto 24 horas,356,false,PLAZA REYES MAGOS,,,Niño Jesús,https://wikidata.org//entity/Q3773746,03-06,Retiro,https://wikidata.org//entity/Q2002296,"03"
A-35,Aparcamiento mixto. San Cayetano,Abierto 24 horas,222,false,PLAZA SAN CAYETANO,,1,La Guindalera,https://wikidata.org//entity/Q3814559,04-04,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-36,Aparcamiento mixto. San Germán II (antes General Yagüe),Abierto 24 horas,419,false,"Calle de Orense, Madrid",https://wikidata.org//entity/Q26761687,48,Castillejos,https://wikidata.org//entity/Q11913212,06-03,Tetuán,https://wikidata.org//entity/Q1773540,"06"
A-37,Aparcamiento mixto. Sánchez Bustillo,Abierto 24 horas,131,false,CALLE SANCHEZ BUSTILLO,,,Embajadores,https://wikidata.org//entity/Q2449844,01-02,Centro,https://wikidata.org//entity/Q1763376,"01"
A-38,Aparcamiento mixto. Serrano I,Abierto 24 horas,307,false,Serrano Street,https://wikidata.org//entity/Q5740879,84,Castellana,https://wikidata.org//entity/Q4781,04-06,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-39,Aparcamiento mixto. Serrano II,Abierto 24 horas,379,false,Serrano Street,https://wikidata.org//entity/Q5740879,44,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-40,Aparcamiento mixto. Serrano III,Abierto 24 horas,261,false,Serrano Street,https://wikidata.org//entity/Q5740879,2,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-41,Aparcamiento mixto. Sevilla,Abierto 24 horas,649,false,Alcalá Street,https://wikidata.org//entity/Q2424746,15,Sol,https://wikidata.org//entity/Q2465181,01-06,Centro,https://wikidata.org//entity/Q1763376,"01"
A-42,Aparcamiento mixto. Velázquez - Ayala,Abierto 24 horas,443,false,Calle de Velázquez,https://wikidata.org//entity/Q20031523,47,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-43,Aparcamiento mixto. Velázquez - Jorge Juan,Abierto 24 horas,548,true,Calle de Velázquez,https://wikidata.org//entity/Q20031523,1,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-44,Aparcamiento mixto. Verdaguer y García,Abierto 24 horas,83,false,CALLE VERDAGUER Y GARCIA,,2,San Pascual,https://wikidata.org//entity/Q165612,15-05,Ciudad Lineal,https://wikidata.org//entity/Q1763694,"15"
A-45,Aparcamiento público. Almagro,Abierto 24 horas,463,false,"Calle de Almagro, Madrid",https://wikidata.org//entity/Q26844339,24,Almagro,https://wikidata.org//entity/Q10954432,07-04,Chamberí,https://wikidata.org//entity/Q1763370,"07"
A-46,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),Abierto 24 horas,376,true,"Calle de Cartagena, Madrid",https://wikidata.org//entity/Q27038851,178,Ciudad Jardín,https://wikidata.org//entity/Q3773744,05-03,Chamartín,https://wikidata.org//entity/Q1766348,"05"
A-47,Aparcamiento público. Descalzas,Abierto 24 horas,400,true,plaza de las Descalzas,https://wikidata.org//entity/Q6080247,3,Sol,https://wikidata.org//entity/Q2465181,01-06,Centro,https://wikidata.org//entity/Q1763376,"01"
A-48,Aparcamiento público. Glorieta Puerta de Toledo,Abierto 24 horas,240,true,GLORIETA PUERTA DE TOLEDO,,,Embajadores,https://wikidata.org//entity/Q2449844,01-02,Centro,https://wikidata.org//entity/Q1763376,"01"
A-49,Aparcamiento público. Las Cortes,Abierto 24 horas,480,true,PLAZA CORTES,,13,Cortes,https://wikidata.org//entity/Q2535637,01-03,Centro,https://wikidata.org//entity/Q1763376,"01"
A-50,Aparcamiento público. Luna - Tudescos (cerrado),Abierto 24 horas,481,true,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA,,2,Universidad,https://wikidata.org//entity/Q10387767,01-05,Centro,https://wikidata.org//entity/Q1763376,"01"
A-51,Aparcamiento público. Marqués de Urquijo,Abierto 24 horas,482,false,calle del Marqués de Urquijo,https://wikidata.org//entity/Q17421317,,Argüelles,https://wikidata.org//entity/Q64874,09-02,Moncloa-Aravaca,https://wikidata.org//entity/Q2017682,"09"
A-52,Aparcamiento público. Mostenses,Abierto 24 horas,361,true,CALLE GARCIA MOLINAS,,4,Universidad,https://wikidata.org//entity/Q10387767,01-05,Centro,https://wikidata.org//entity/Q1763376,"01"
A-53,Aparcamiento público. Museo de la Ciudad,Abierto 24 horas,147,false,Calle del Príncipe de Vergara,https://wikidata.org//entity/Q5741020,134,Ciudad Jardín,https://wikidata.org//entity/Q3773744,05-03,Chamartín,https://wikidata.org//entity/Q1766348,"05"
A-54,Aparcamiento público. Olavide,Abierto 24 horas,397,false,Plaza de Olavide,https://wikidata.org//entity/Q27947826,17,Trafalgar,https://wikidata.org//entity/Q10384027,07-03,Chamberí,https://wikidata.org//entity/Q1763370,"07"
A-55,Aparcamiento público. Plaza de Colón,Abierto 24 horas,611,true,Calle de Goya,https://wikidata.org//entity/Q28015873,2,Recoletos,https://wikidata.org//entity/Q3814551,04-01,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-56,Aparcamiento público. Plaza de España,Abierto 24 horas,800,false,plaza de España,https://wikidata.org//entity/Q1326261,1,Palacio,https://wikidata.org//entity/Q2136510,01-01,Centro,https://wikidata.org//entity/Q1763376,"01"
A-57,Aparcamiento público. Plaza del Carmen (cerrado),Abierto 24 horas,450,false,Plaza del Carmen,https://wikidata.org//entity/Q6080406,10,Sol,https://wikidata.org//entity/Q2465181,01-06,Centro,https://wikidata.org//entity/Q1763376,"01"
A-58,Aparcamiento público. Plaza del Rey,Abierto 24 horas,170,false,PLAZA REY,,1,Justicia,https://wikidata.org//entity/Q1992319,01-04,Centro,https://wikidata.org//entity/Q1763376,"01"
A-59,Aparcamiento público. San Epifanio,Actualmente Cerrado,501,true,calle de San Epifanio,https://wikidata.org//entity/Q118847930,9,Imperial,https://wikidata.org//entity/Q3773740,02-01,Arganzuela,https://wikidata.org//entity/Q2000929,"02"
A-60,Aparcamiento público. Santa Ana (cerrado),Abierto 24 horas,325,true,Plaza de Santa Ana,https://wikidata.org//entity/Q740210,,Cortes,https://wikidata.org//entity/Q2535637,01-03,Centro,https://wikidata.org//entity/Q1763376,"01"
A-61,Aparcamiento público. Usera,,36,false,CALLE AMPARO USERA,,46,Moscardó,https://wikidata.org//entity/Q11937679,12-05,Usera,https://wikidata.org//entity/Q953368,"12"
A-62,Aparcamiento público. Velázquez - Juan Bravo,Abierto 24 horas,371,true,Calle de Velázquez,https://wikidata.org//entity/Q20031523,88,Castellana,https://wikidata.org//entity/Q4781,04-06,Salamanca,https://wikidata.org//entity/Q1773521,"04"
A-63,Aparcamiento público. Villa de París,Abierto 24 horas,169,true,plaza de la Villa de París,https://wikidata.org//entity/Q6080233,1,Justicia,https://wikidata.org//entity/Q1992319,01-04,Centro,https://wikidata.org//entity/Q1763376,"01"
