ID,NOMBRE,HORARIO,PLAZAS,ACCESIBILIDAD,VIA,NUMERO,BARRIO,COD-BARRIO,DISTRITO,COD-DISTRITO
A-39,Aparcamiento mixto. Serrano II,Abierto 24 horas,379,false,CALLE SERRANO,44,RECOLETOS,04-01,SALAMANCA,04
A-40,Aparcamiento mixto. Serrano III,Abierto 24 horas,261,false,CALLE SERRANO,2,RECOLETOS,04-01,SALAMANCA,04
A-41,Aparcamiento mixto. Sevilla,Abierto 24 horas,649,false,CALLE ALCALA,15,SOL,01-06,CENTRO,01
A-42,Aparcamiento mixto. Velázquez - Ayala,Abierto 24 horas,443,false,CALLE VELAZQUEZ,47,RECOLETOS,04-01,SALAMANCA,04
A-43,Aparcamiento mixto. Velázquez - Jorge Juan,Abierto 24 horas,548,true,CALLE VELAZQUEZ,1,RECOLETOS,04-01,SALAMANCA,04
A-44,Aparcamiento mixto. Verdaguer y García,Abierto 24 horas,83,false,CALLE VERDAGUER Y GARCIA,2,SAN PASCUAL,15-05,CIUDAD LINEAL,15
A-45,Aparcamiento público. Almagro,Abierto 24 horas,463,false,CALLE ALMAGRO,24,ALMAGRO,07-04,CHAMBERI,07
A-46,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),Abierto 24 horas,376,true,CALLE CARTAGENA,178,CIUDAD JARDIN,05-03,CHAMARTIN,05
A-47,Aparcamiento público. Descalzas,Abierto 24 horas,400,true,PLAZA DESCALZAS,3,SOL,01-06,CENTRO,01
A-48,Aparcamiento público. Glorieta Puerta de Toledo,Abierto 24 horas,240,true,GLORIETA PUERTA DE TOLEDO,,EMBAJADORES,01-02,CENTRO,01
A-49,Aparcamiento público. Las Cortes,Abierto 24 horas,480,true,PLAZA CORTES,13,CORTES,01-03,CENTRO,01
A-50,Aparcamiento público. Luna - Tudescos (cerrado),Abierto 24 horas,481,true,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA,2,UNIVERSIDAD,01-05,CENTRO,01
A-51,Aparcamiento público. Marqués de Urquijo,Abierto 24 horas,482,false,CALLE MARQUES DE URQUIJO,,ARGUELLES,09-02,MONCLOA-ARAVACA,09
A-52,Aparcamiento público. Mostenses,Abierto 24 horas,361,true,CALLE GARCIA MOLINAS,4,UNIVERSIDAD,01-05,CENTRO,01
A-53,Aparcamiento público. Museo de la Ciudad,Abierto 24 horas,147,false,CALLE PRINCIPE DE VERGARA,134,CIUDAD JARDIN,05-03,CHAMARTIN,05
A-54,Aparcamiento público. Olavide,Abierto 24 horas,397,false,PLAZA OLAVIDE,17,TRAFALGAR,07-03,CHAMBERI,07
A-55,Aparcamiento público. Plaza de Colón,Abierto 24 horas,611,true,CALLE GOYA,2,RECOLETOS,04-01,SALAMANCA,04
A-56,Aparcamiento público. Plaza de España,Abierto 24 horas,800,false,PLAZA ESPAÑA,1,PALACIO,01-01,CENTRO,01
A-57,Aparcamiento público. Plaza del Carmen (cerrado),Abierto 24 horas,450,false,PLAZA CARMEN,10,SOL,01-06,CENTRO,01
A-58,Aparcamiento público. Plaza del Rey,Abierto 24 horas,170,false,PLAZA REY,1,JUSTICIA,01-04,CENTRO,01
A-59,Aparcamiento público. San Epifanio,Actualmente Cerrado,501,true,CALLE SAN EPIFANIO,9,IMPERIAL,02-01,ARGANZUELA,02
A-60,Aparcamiento público. Santa Ana (cerrado),Abierto 24 horas,325,true,PLAZA SANTA ANA,,CORTES,01-03,CENTRO,01
A-61,Aparcamiento público. Usera,,36,false,CALLE AMPARO USERA,46,MOSCARDO,12-05,USERA,12
A-62,Aparcamiento público. Velázquez - Juan Bravo,Abierto 24 horas,371,true,CALLE VELAZQUEZ,88,CASTELLANA,04-06,SALAMANCA,04
A-63,Aparcamiento público. Villa de París,Abierto 24 horas,169,true,PLAZA VILLA DE PARIS,1,JUSTICIA,01-04,CENTRO,01
A-64,,,,false,,,,,,
