ID,DISTRITO,same_as_wikidata_distrito,COD-BARRIO,COD-DISTRITO,BARRIO,same_as_wikidata_barrio,VIA,NUMERO,L-B,PLAZAS
C-87,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA ESCALINATA,15,Línea,"1"
C-88,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LA ESCUADRA,12,Línea,"1"
C-89,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE ESPARTEROS,13,Línea,"2"
C-90,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE ESPERANZA,6,Línea,"1"
C-91,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL ESPIRITU SANTO,28,Línea,"1"
C-92,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL ESPIRITU SANTO,40,Línea,"1"
C-93,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE ESPOZ Y MINA,40,Línea,"2"
C-94,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LOS ESTUDIOS,2,Línea,"1"
C-95,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA FLOR BAJA,6,Línea,"1"
C-96,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE FUENCARRAL,100,Línea,"1"
C-97,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE LAS FUENTES,10,Línea,"1"
C-98,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL GENERAL CASTAÑOS,11,Línea,"1"
C-99,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL GENERAL MITRE,4,Línea,"1"
C-100,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,PLAZA  DEL GENERAL VARA DE REY,3,Batería,"1"
C-101,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO,5,Línea,"1"
C-102,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE LAS HILERAS,8,Línea,"1"
C-103,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE HORTALEZA,23,Línea,"1"
C-104,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE HORTALEZA,43,Línea,"1"
C-105,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE HORTALEZA,57,Línea,"1"
C-106,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE HORTALEZA,61,Línea,"1"
C-107,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE JESUS DEL VALLE,26,Línea,"1"
C-108,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE JESUS DEL VALLE,32,Línea,"1"
C-109,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,PLAZA  DE JESUS,5,Línea,"1"
C-110,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE JOVELLANOS,4,Línea,"1"
C-111,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE JUAN DE DIOS,4,Línea,"1"
C-112,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE JUAN DE HERRERA,1,Línea,"1"
C-113,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE JUANELO,18,Línea,"1"
C-114,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LAVAPIES,18,Línea,"1"
C-115,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LEGANITOS,43,Línea,"1"
C-116,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DEL LEON,28,Línea,"1"
C-117,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE LA LIBERTAD,30,Línea,"1"
C-118,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE LOPE DE VEGA,13,Línea,"1"
C-119,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE LOPE DE VEGA,37,Línea,"2"
C-120,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LOPEZ SILVA,2,Línea,"1"
C-121,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE LOS MADRAZO,19,Línea,"1"
C-122,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DEL MARQUES DE CASA RIERA,4,Línea,"1"
C-123,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DEL MARQUES DE CUBAS,27,Línea,"1"
C-124,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL MARQUES DE LA ENSENADA,3,Línea,"1"
C-125,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DEL MARQUES DE MONASTERIO,3,Batería,"1"
C-126,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL MARQUES DE SANTA ANA,20,Línea,"1"
C-127,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE MAYOR,11,Línea,"2"
C-128,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE MAYOR,81,Batería,"2"
C-129,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL MESON DE PAREDES,73,Línea,"1"
C-130,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE LAS MINAS,24,Línea,"1"
C-131,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL MOLINO DE VIENTO,21,Línea,"1"
C-132,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE MONTELEON,14,Línea,"1"
C-133,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA MORERIA,1,Línea,"1"
C-134,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA MORERIA,17,Línea,"1"
C-135,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL NORTE,12,Línea,"1"
C-136,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL NOVICIADO,5 A,Línea,"1"
C-137,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL OLIVAR,4,Línea,"1"
C-138,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE PELAYO,68,Línea,"1"
C-139,Centro,https://wikidata.org/entity/Q1763376,01-04,01,Justicia,https://wikidata.org/entity/Q1992319,CALLE  DE PELAYO,84,Línea,"1"
C-140,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL PEZ,14,Línea,"1"
C-141,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL PEZ,19,Línea,"1"
C-142,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL PEZ,20,Línea,"1"
C-143,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE PONCIANO,6,Línea,"1"
C-144,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DEL PRADO,24,Línea,"2"
C-145,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE LA PUEBLA,13,Línea,"1"
C-146,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,PLAZA  DE LA PUERTA DE MOROS,4,Línea,"1"
C-147,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE QUEVEDO,1,Línea,"1"
C-148,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA REDONDILLA,7,Línea,"1"
C-149,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE LOS REYES,7,Línea,"1"
C-150,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE LA RIBERA DE CURTIDORES,17,Línea,"2"
C-151,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DEL ROSARIO,15,Línea,"1"
C-152,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE RUIZ,5,Línea,"1"
C-153,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL SALITRE,7,Línea,"2"
C-154,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL SALITRE,31,Línea,"1"
C-155,Centro,https://wikidata.org/entity/Q1763376,01-03,01,Cortes,https://wikidata.org/entity/Q2535637,CALLE  DE SAN AGUSTIN,5,Línea,"1"
C-156,Centro,https://wikidata.org/entity/Q1763376,01-06,01,Sol,https://wikidata.org/entity/Q2465181,CALLE  DE SAN ALBERTO,1,Línea,"2"
C-157,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE SAN ANDRES,17,Línea,"1"
C-158,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,COSTANILLA  DE SAN ANDRES,10,Línea,"1"
C-159,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE SAN BERNARDO,20,Línea,"1"
C-160,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE SAN BERNARDO,24,Línea,"1"
C-161,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE SAN BERNARDO,36,Línea,"1"
C-162,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE SAN BERNARDO,64,Línea,"1"
C-163,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DE SAN BERNARDO,79,Línea,"1"
C-164,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE SAN BUENAVENTURA,2,Línea,"1"
C-165,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE SAN BUENAVENTURA,14,Línea,"1"
